Order,Family,ScientificName,CommonName,RangeExtent,AreaOfOccupancy,LongTermTrend,SRank,GRrank
Diptera,Bombyliidae,Bombylius pulchellus,Beautiful Bee Fly,Z,Z,U,SH,GNR
Diptera,Bombyliidae,Bombylius pygmaeus,Pygmy Bee Fly,F,D,U,SU,G5
Diptera,Bombyliidae,Bombylius varius,a bee fly,C,C,U,SU,GNR
Diptera,Syrphidae,Blera analis,Orange-tailed Wood Fly,E,C,AD,S3,G5
Diptera,Syrphidae,Blera armillata,Orange-faced Wood Fly,A,A,U,S1,G5
Diptera,Syrphidae,Blera badia,Common Wood Fly,F,D,G,S4,G5
Diptera,Syrphidae,Blera confusa,Confusing Wood Fly,D,C,G,S3,G5
Diptera,Syrphidae,Blera pictipes,Painted Wood Fly,AB,B,U,S1,G4G5
Diptera,Syrphidae,Blera umbratilis,Hairy Wood Fly,A,A,U,S1,G4G5
Diptera,Syrphidae,Brachyopa flavescens,Yellow Sapeater,F,C,U,SU,G5
Diptera,Syrphidae,Brachyopa notata,Black-banded Sapeater,F,D,G,S4,G5
Diptera,Syrphidae,Brachyopa perplexa,Hairy-striped Sapeater,F,C,U,SU,G4G5
Diptera,Syrphidae,Brachyopa vacua,Yellow-spotted Sapeater,A,A,AF,S1,G5
Diptera,Syrphidae,Ceriana abbreviata,Northern Wasp Fly,A,A,U,S1,G5
Diptera,Syrphidae,Ceriana willistoni,Williston's Wasp Fly,E,C,HI,S3,G5
Diptera,Syrphidae,Chalcosyrphus anomalus,Long-tailed Leafwalker,Z,Z,U,SH,G4G5
Diptera,Syrphidae,Chalcosyrphus anthreas,Yellow-banded Leafwalker,F,D,G,S4,G5?
Diptera,Syrphidae,Chalcosyrphus chalybeus,Violet Leafwalker,F,D,G,S4,G5
Diptera,Syrphidae,Chalcosyrphus curvaria,Yellow-haltered Leafwalker,A,B,AF,S1S2,G5
Diptera,Syrphidae,Chalcosyrphus inarmatus,Yellow-haired Leafwalker,Z,Z,U,SH,G5
Diptera,Syrphidae,Chalcosyrphus metallifer,Orange-horned Leafwalker,A,A,U,S1,G4G5
Diptera,Syrphidae,Chalcosyrphus plesia,Black-hipped Leafwalker,F,C,U,SU,G4G5
Diptera,Syrphidae,Chalcosyrphus vecors,Orange-hipped Leafwalker,F,D,G,S4,G4G5
Diptera,Syrphidae,Criorhina nigriventris,Bare-cheeked Bumblefly,F,D,HI,S2S3,G5
Diptera,Syrphidae,Criorhina verbosa,Hairy-cheeked Bumblefly,F,C,G,S1S3,G5
Diptera,Syrphidae,Doros aequalis,Canadian Potterfly,A,B,U,S1,G5
Diptera,Syrphidae,Ferdinandea buccata,Common Copperback,F,C,G,S3,G5
Diptera,Syrphidae,Hammerschmidtia rufa,Black-bristled Logsitter,A,B,U,S1,G5
Diptera,Syrphidae,Hammerschmidtia sedmani,Pale-bristled Logsitter,A,B,U,S1,G5
Diptera,Syrphidae,Lejota cyanea,Cobalt Trunksitter,A,B,U,S1,G3G5
Diptera,Syrphidae,Mallota bautias,Bare-eyed Mimic,F,EI,G,S4S5,G5
Diptera,Syrphidae,Mallota mississipensis,Eastern Mimic,Z,Z,U,SH,GNR
Diptera,Syrphidae,Mallota posticata,Hairy-eyed Mimic,F,EI,G,S4S5,G5
Diptera,Syrphidae,Microdon abditus,Broad-footed Ant Fly,D,C,U,SU,G5?
Diptera,Syrphidae,Microdon aurulentus,Golden-haired Ant Fly,A,A,U,S1,G4?
Diptera,Syrphidae,Microdon cothurnatus,Orange-legged Ant Fly,A,A,U,S1,G4G5
Diptera,Syrphidae,Microdon craigheadii,Large Metallic Ant Fly,A,B,U,S1,G4G5
Diptera,Syrphidae,Microdon globosus,Globular Ant Fly,A,A,AD,S1,G5
Diptera,Syrphidae,Microdon manitobensis,Greater Ant Fly,F,C,U,SU,G5
Diptera,Syrphidae,Microdon megalogaster,Black-bodied Ant Fly,Z,Z,U,SH,G5?
Diptera,Syrphidae,Microdon ocellaris,Hairy-legged Ant Fly,Z,Z,U,SH,G4G5
Diptera,Syrphidae,Microdon ruficrus,Spiny-shield Ant Fly,A,B,U,S1,G5
Diptera,Syrphidae,Microdon tristis,Long-horned Ant Fly,F,D,G,S4,G5
Diptera,Syrphidae,Milesia virginiensis,Virginia Giant,F,D,G,S4,G5
Diptera,Syrphidae,Myolepta nigra,Black Pegleg,F,C,G,S3,G5
Diptera,Syrphidae,Myolepta pretiosa,Dusted Pegleg,A,A,U,S1,GU
Diptera,Syrphidae,Myolepta strigilata,Scaled Pegleg,A,A,U,S1,G5
Diptera,Syrphidae,Pterallastes thoracicus,Goldenback,EF,D,G,S3?,G5
Diptera,Syrphidae,Somula decora,Spotted Wood Fly,F,D,G,S4,G5
Diptera,Syrphidae,Sphecomyia vittata,Long-horned Yellowjacket Fly,F,D,G,S4,G5
Diptera,Syrphidae,Sphegina campanulata,Orange-horned Pufftail,F,D,G,S4,G5?
Diptera,Syrphidae,Sphegina flavomaculata,Tooth-legged Pufftail,E,C,U,SU,G3G5
Diptera,Syrphidae,Sphegina keeniana,Peg-legged Pufftail,F,D,HI,S4,G4G5
Diptera,Syrphidae,Sphegina lobulifera,Black-lobed Pufftail,F,D,U,SU,G4G5
Diptera,Syrphidae,Sphegina rufiventris,Black-horned Pufftail,F,D,G,S4,G5
Diptera,Syrphidae,Spilomyia alcimus,Broad-banded Hornet Fly,EF,EI,G,S4S5,G5
Diptera,Syrphidae,Spilomyia fusca,Bald-faced Hornet Fly,F,EI,G,S4S5,G5
Diptera,Syrphidae,Spilomyia longicornis,Eastern Hornet Fly,F,EI,G,S4S5,G5
Diptera,Syrphidae,Spilomyia sayi,Four-lined Hornet Fly,F,D,G,S4,G5
Diptera,Syrphidae,Temnostoma daochus,Yellow-spotted Falsehorn,A,A,U,S1,G5
Diptera,Syrphidae,Temnostoma venustum,Black-banded Falsehorn,Z,Z,U,SH,G4G5
